taz,coord-x,coord-y,area
1,410103.66195,4604482.70532,1518415.23870832
2,408993.239,4603543.94071,2685212.06973933
3,410125.93305,4602742.23421,1908209.52754615
4,408249.28525,4601824.59635,3403276.58657659
5,409414.49331,4600449.81034,1768760.99950193
6,410283.04206,4600358.12309,3648742.91182856
7,411820.80563,4601943.47089,13428930.4922582
8,412104.31064,4604443.5595,2355617.2571513
9,412641.13506,4606013.45225,548203.694364903
10,413393.97735,4603599.96155,4174439.87823226
11,414375.65042,4600354.76038,4200484.26825694
12,413128.69071,4598915.11513,3052750.0242051
13,414705.54952,4598399.76644,853809.801774449
14,408607.43993,4598031.67361,6909679.55400034
15,410462.61665,4598151.95325,1666106.94273041
16,409822.66973,4596661.41732,2427222.97650899
17,410935.23053,4596548.34309,1126458.86377165
18,408643.7608,4595521.39063,2101028.28592343
19,409378.23736,4593362.8768,19208879.1288431
20,411628.59424,4592277.38932,2068710.44386488
21,409390.23113,4590129.32432,6529768.49139171
22,410959.79809,4588080.3912,6826589.29986805
23,411885.0449,4585699.279,376623.593176022
24,412246.12625,4584236.16879,529680.369211522
25,411691.06618,4598033.42812,1302688.85891672
26,411628.97259,4596946.7344,919244.607000374
27,412397.34666,4597091.22201,619624.700529961
28,412234.47895,4596259.01413,863071.687874069
29,412868.87742,4597833.50613,969733.261414357
30,413758.71934,4597659.98505,548747.781321494
31,413460.62434,4596949.8797,822335.753750598
32,413461.32206,4596298.62718,838794.491895756
33,414371.80475,4597691.1501,411390.157485003
34,414952.33213,4597662.60121,457480.898963277
35,414352.69012,4596959.92192,343811.473431346
36,414933.55138,4596975.32376,440454.152940511
37,414344.34801,4596277.14556,329232.600058875
38,414915.96282,4596283.22579,478025.100815414
39,415687.11278,4598502.39811,1062020.6931874
40,415470.70814,4597589.28116,229176.661027708
41,415844.34991,4597574.75018,220046.390358821
42,415460.00994,4596961.11542,259183.737890579
43,415850.07846,4596948.98941,259866.446149428
44,415445.8486,4596406.72421,172869.765688768
45,415838.50062,4596394.14554,176171.970042622
46,415430.26991,4595806.55851,295083.182279022
47,415826.05034,4595797.0577,303568.493479485
48,416173.36522,4597653.72103,127923.72143702
49,416265.9398,4596995.73229,309168.615930427
50,416501.46834,4597108.91128,129321.476154894
51,416760.38261,4597223.28015,618196.168947017
52,416350.02866,4596476.20194,251916.301547193
53,416930.73337,4596235.98914,331686.440726889
54,416299.9206,4596111.39971,186080.391570781
55,416171.02711,4595637.39964,144506.703683842
56,417156.27172,4595650.08759,1764289.2653326
57,412223.18528,4595505.3693,1011477.9249604
58,413390.55287,4595550.72152,1003792.19109882
59,412329.92493,4594691.99916,770038.736486176
60,413161.50416,4594567.31287,792124.123447537
61,412498.52463,4593754.05724,938659.145188671
62,414038.79949,4595398.02528,193123.744576562
63,414374.87322,4595700.72438,183876.006544244
64,414900.59096,4595685.72509,313959.181271609
65,414359.81634,4595282.37992,140182.49596636
66,414885.86043,4595149.99344,395598.899906274
67,413882.95059,4594715.76428,357661.878586631
68,414344.42632,4594726.46303,304117.27865611
69,414871.98245,4594590.03199,345511.487477632
70,413777.05611,4593830.46237,1408072.13916428
71,414789.81762,4593758.60559,801883.457501944
72,415412.71517,4595133.19364,232360.22472256
73,415807.94733,4595123.48932,233797.208109087
74,416214.76041,4595105.71767,231075.456955241
75,415397.95689,4594573.56188,207655.044113506
76,415793.28387,4594562.47723,212339.472565575
77,416157.32856,4594496.82788,163495.840822033
78,416626.20613,4594650.51822,483925.31466838
79,415877.26347,4593838.23964,1375328.03566442
80,412364.6205,4592603.97648,886894.782622945
81,413329.4593,4593067.25794,460539.217731707
82,414635.65798,4593167.69741,214828.868351253
83,413178.55626,4592434.34948,989371.563678664
84,414257.9591,4592611.32504,940925.67367595
85,413777.78718,4591853.90984,806481.940318786
86,412145.50004,4591378.03981,444609.605188739
87,412672.00483,4591221.15687,833129.172411317
88,413360.81457,4591038.0002,754777.985450361
89,415587.84132,4593156.18946,236483.781499537
90,415222.8989,4592633.59695,568911.31232336
91,414769.5411,4591830.13753,743784.741244439
92,414384.10402,4591210.12389,462698.131419096
93,413961.31265,4590844.1238,230167.540409144
94,411992.12924,4590408.31995,191136.898411401
95,412453.87769,4590328.54022,476070.032617226
96,413027.14059,4589940.13728,612303.170282082
97,413705.04222,4590214.15075,686691.616365095
98,411952.16611,4589312.56717,437869.392216951
99,412433.91965,4589365.40287,792194.373685785
100,413047.76383,4588987.55216,399744.882559965
101,413597.97715,4588889.02752,816355.452132193
102,411932.51558,4588423.29212,222915.024567164
103,412447.70607,4588411.86928,397307.670309682
104,413065.91639,4588344.93147,359377.79206568
105,411914.85908,4587584.50227,567753.783693086
106,412468.33976,4587487.12423,705936.370411911
107,413112.65373,4587455.40483,832406.133798368
108,413691.74874,4587334.30419,637034.921916735
109,411973.63314,4586666.32957,364498.968854718
110,412515.96965,4586535.41121,441273.420516137
111,413148.07073,4586534.08385,424542.741342046
112,413782.98707,4586396.2624,331923.132687454
113,412565.16971,4585668.07529,919642.453732922
114,413208.65529,4585666.49458,464770.145128582
115,413745.27016,4585632.43654,628718.54563915
116,412609.35605,4584800.20798,512944.185787796
117,413192.43505,4584775.58001,250765.95061687
118,413707.31579,4584621.73571,703504.717194363
119,412699.13341,4584040.74873,517253.090660971
120,413211.88845,4583974.24576,405404.176694958
121,413863.83891,4583798.64477,514130.416413757
122,413143.60672,4582953.42111,993475.977763524
123,413883.52103,4582897.15981,744660.06903317
124,413231.26248,4581282.23805,1670137.05948121
125,414004.75257,4581533.80265,924601.673846854
126,413070.1351,4579319.04459,1173294.74209898
127,414055.26988,4580087.28909,1857145.8262573
128,413865.21224,4578236.09939,2175950.74927548
129,413348.72679,4577411.03729,706391.950964132
130,412530.98028,4580763.48228,597366.033485061
131,411290.53192,4579367.97938,3971695.33778384
132,412463.51876,4579253.41535,1135723.13986545
133,409989.68519,4577526.02118,3316611.37010728
134,412321.10646,4577786.278,1715754.84478172
135,411817.25731,4577153.54947,2014238.86187879
141,400322.43264,4569824.19006,57238807.540747
142,402995.89691,4564078.83679,28590901.0099488
143,408302.6884,4575421.81479,8788669.73461544
144,410560.67591,4575720.93603,1561063.02058169
145,411522.00404,4575370.18665,2836357.9455072
146,410207.49938,4573880.73248,1524524.88915742
147,411750.41586,4573827.07103,2336408.0228853
148,409968.14136,4572545.90966,1801662.67188628
149,411636.61121,4572498.74423,2436403.74102987
150,412909.1381,4575736.33431,2759165.38840715
151,413359.8195,4574115.99637,2476893.73236032
152,413347.80717,4572454.23963,2764522.16283031
153,405134.99574,4573503.3503,4175862.3884777
154,406870.06478,4573218.84974,3289228.55302282
155,405170.69184,4569321.70419,9133485.04819029
156,406714.75921,4571087.56237,3172153.10928063
157,406590.82501,4568488.44606,4039128.09699422
158,408626.55952,4573372.18611,3397379.92623759
159,408244.65428,4571100.44732,4358119.0892544
160,409874.0117,4571620.89326,1019422.28411195
161,411635.10471,4571272.02746,1927545.10765313
162,413317.97441,4570713.36508,2871663.20814759
163,410194.13261,4571030.36308,549511.563570012
164,411558.5951,4570435.54148,1206327.46187227
165,413100.10847,4569604.23037,1049750.21922507
166,408453.34906,4568964.99408,4217940.79191819
167,410012.08998,4569002.24289,3016611.36952303
168,407963.5535,4567112.15581,3535237.95089853
169,410669.27246,4567192.73777,4481719.52378846
170,409955.74059,4570416.75536,953640.134186857
171,411562.59101,4568840.70967,3707050.38594832
